;Unnamed: 0;ID;Datetime;Text;Username;clean_tweet
0;0;1,60751E+18;2022-12-26 23:07:22+00:00;Pengamat politik dari LIPI, Indria Samego, menilai PDIP kemungkinan lebih akan mendorong Puan Maharani untuk maju di Pilpres 2024 dibandingkan kader lain di internal. https://t.co/ARfxNt9T3K;Rosanjaya10;amat politik lipi indria samego nilai pdip mungkin lebih dorong puan maharani maju pilpres 2024 banding kader internal
1;1;1,60751E+18;2022-12-26 22:58:13+00:00;"MAU IBADAH NATAL SAJA SUSAH - WASPADAI PENDUKUNG BAPAK POLITIK IDENTITAS DI PILPRES 2024 @Aryprasetyo85
@PadmavatiPrati1 #StopIntolerance #BahayaLatenBapakPolitikIdentitas https://t.co/h7uqWdz2qU";info62id;ibadah natal susah waspada dukung bapak politik identitas pilpres 2024 aryprasetyo85 padmavatiprati1 stopintolerance bahayalatenbapakpolitikidentitas
2;2;1,60742E+18;2022-12-26 16:45:42+00:00;Menuju Pilpres 2024, berkembang wacana untuk menduetkan Puan Maharani dengan beragam tokoh sebagai pasangan capres dan cawapres. Puan menjadi magnet politik bagi figur politik lainnya. https://t.co/kyJ4Qcka5i;Kuyangpargoyy;tuju pilpres 2024 kembang wacana duet puan maharani agam tokoh pasang capres cawapres puan jadi magnet politik figur politik lain
3;3;1,60742E+18;2022-12-26 16:43:00+00:00;Puan Maharani yang ditugaskan untuk safari politik dinilai sebagai sinyal dukungan Capres di Pilpres 2024. Hal itu guna menjalin komunikasi dgn parpol jelang Pilpres 2024. https://t.co/yZ0p3AyW8i;Krissbee19;puan maharani tugas safari politik nilai sinyal dukung capres pilpres 2024 jalin komunikasi parpol jelang pilpres 2024
5;5;1,60739E+18;2022-12-26 15:16:46+00:00;@Candra4smara Yohanes Anies Rasyid Baswedan susah menang di pilpres nanti Krn udah terlanjur melekat predikat sebagai bapak politik identitas;ababil_santoso;candra4smara yohanes anies rasyid baswedan susah menang pilpres udah lanjur lekat predikat bapak politik identitas
10;10;1,60735E+18;2022-12-26 12:35:31+00:00;"Ide Duet Ganjar-Prabowo di Pilpres 2024, Pengamat Sebut Mustahil: Tak Pantas dan Ada Gengsi Politik
 
https://t.co/6jhHvszAhu via @tribunnews";Max20585254;ide duet ganjar prabowo pilpres 2024 amat sebut mustahil pantas gengsi politik via tribunnews
12;12;1,60735E+18;2022-12-26 12:08:49+00:00;@RudiMeletop @Kanjeng2022 @SantorinisSun kampanye ayat mayat Pilkada 2017 itu sarat kebencian, sedangkan strategi JKW Pilpres 2019 merangkul KMA hanya utk menyatukan perbedaan politik anak bangsa...Masih nanya itu sama apa nggak??? ??;CapLang79073002;rudimeletop kanjeng2022 santorinissun kampanye ayat mayat pilkada 2017 sarat benci strategi jkw pilpres 2019 rangkul kma satu beda politik anak bangsa nanya sama apa
15;15;1,60733E+18;2022-12-26 11:10:04+00:00;@OposisiCerdas Serba salah. Depak Nasdem makin menegaskan bhw istana turut campur politik pilpres yg baru2 disangkalnya.;getteng_m;oposisicerdas serba salah depak nasdem tegas bhw istana turut campur politik pilpres baru2 sangkal
16;16;1,60733E+18;2022-12-26 11:00:31+00:00;"Pengamat Politik Arie Putra Padeh menyakini telah melihat sinyalemen Pak Jokowi yang memproyeksikan Erick Thohir untuk menjadi cawapres di pilpres 2024.
 
#BangkitBersamaET https://t.co/eVqJKSxT7P";YRadianto;amat politik arie putra padeh menyakini lihat sinyalemen jokowi proyeksi erick thohir jadi cawapres pilpres 2024 bangkitbersamaet
17;17;1,60733E+18;2022-12-26 10:41:30+00:00;@Syarman59 @NasDem @jokowi Kalau presiden paham kontrak politik antara nasdem dan koalisi itu 2019-2024, Pilpres itu 2024.;herirwidjaja;syarman59 nasdem jokowi kalau presiden paham kontrak politik nasdem koalisi 2019 2024 pilpres 2024
18;18;1,60732E+18;2022-12-26 10:20:30+00:00;"Maka, jangan salahkan publik yang menyangka penyidikan kasus Formula E merupakan bagian dari agenda politik menjegal Anies Baswedan yang hendak maju dalam Pilpres 2024.
#KoranTempo";korantempo;salah publik sangka sidi kasus formula rupa bagi agenda politik jegal anies baswedan hendak maju pilpres 2024 korantempo
21;21;1,6073E+18;2022-12-26 09:14:20+00:00;"Tingginya elektabilitas @erickthohir tak lepas dari jabatannya sbg Menteri BUMN dan kinerjanya yg memuaskan. 
Program BUMN yg banyak langsung menyentuh ke masyarakat , 
Membuat posisinya strategis untuk Pilpres 2024
#BangkitBersamaET https://t.co/CtXhZBbf5g";topeng_politik;tinggi elektabilitas erickthohir lepas jabat menteri bumn kerja muas program bumn banyak langsung sentuh masyarakat buat posisi strategis pilpres 2024 bangkitbersamaet
24;24;1,6073E+18;2022-12-26 09:06:41+00:00;@Kimberley_20102 Analis Politik ku, pidato ini ngribon Moeldoko dan Ganjar Uban yg ambisi ikut Pilpres 2024 yooooo??????????;GusRachmat;kimberley 20102 analis politik pidato ngribon moeldoko ganjar uban ambisi ikut pilpres 2024 yooooo
25;25;1,6073E+18;2022-12-26 08:40:02+00:00;"Soliditas dan kebersamaan adalah salah satu kunci kemenangan Golkar di Pemilu 2024. 

@airlangga_hrt
@golkar_id

#airlanggahartarto #sumaterautara #golkarindonesia #ketumgolkar #teknokrat #pilpres2024 #pilpres #capres #capres2024 cuti libur https://t.co/hj0S4pr2Rz";g_politik2024;soliditas sama salah satu kunci menang golkar milu 2024 airlangga hrt golkar id airlanggahartarto sumaterautara golkarindonesia ketumgolkar teknokrat pilpres2024 pilpres capres capres2024 cuti libur
